,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
452,0.995344,0.28368,0.000128493,0.189895973,0.190024466,0.0418
453,0.995536,0.28572,0.000105303,0.195133925,0.195239228,0.0438
454,0.995752,0.28784,8.61E-05,0.200496655,0.200582737,0.0458
455,0.996,0.29,7.02E-05,0.205986022,0.206056214,0.048
456,0.996584,0.29152,5.71E-05,0.211603843,0.211660933,0.0502
457,0.997192,0.29316,4.63E-05,0.217351885,0.217398201,0.0526
458,0.997808,0.29504,3.75E-05,0.223231861,0.223269341,0.055
459,0.998416,0.29728,3.03E-05,0.229245426,0.229275678,0.0574
460,0.999,0.3,2.44E-05,0.235394168,0.235418524,0.06
461,0.999584,0.30728,1.96E-05,0.241679605,0.241699163,0.0626
462,1.000052,0.31504,1.57E-05,0.248103176,0.248118841,0.0653
463,1.000328,0.32316,1.25E-05,0.254666238,0.254678753,0.068
464,1.000336,0.33152,9.97E-06,0.261370056,0.261380028,0.0709
465,1,0.34,7.93E-06,0.2682158,0.268223726,0.0739
466,0.996344,0.34352,6.28E-06,0.275204534,0.275210817,0.077
467,0.992392,0.34816,4.97E-06,0.282337212,0.282342179,0.0803
468,0.988268,0.35504,3.92E-06,0.289614669,0.289618586,0.0837
469,0.984096,0.36528,3.08E-06,0.297037614,0.297040695,0.0872
470,0.98,0.38,2.42E-06,0.304606623,0.304609039,0.091
471,0.97776,0.4392,1.89E-06,0.31232213,0.312324021,0.0949
472,0.97568,0.5024,1.48E-06,0.320184421,0.320185896,0.0991
473,0.97372,0.568,1.15E-06,0.328193622,0.32819477,0.1034
474,0.97184,0.6344,8.91E-07,0.336349697,0.336350588,0.1079
475,0.97,0.7,6.90E-07,0.344652434,0.344653123,0.1126
476,0.968,0.74448,5.32E-07,0.353101438,0.35310197,0.1175
477,0.966,0.78664,4.10E-07,0.361696126,0.361696536,0.1226
478,0.964,0.82656,3.15E-07,0.370435715,0.37043603,0.1279
479,0.962,0.86432,2.41E-07,0.379319215,0.379319456,0.1334
480,0.96,0.9,1.84E-07,0.388345418,0.388345602,0.139
481,0.958,0.92432,1.40E-07,0.397512895,0.397513035,0.1446
482,0.956,0.94656,1.07E-07,0.406819982,0.406820088,0.1504
483,0.954,0.96664,8.07E-08,0.416264774,0.416264855,0.1564
484,0.952,0.98448,6.10E-08,0.425845119,0.42584518,0.1627
485,0.95,1,4.59E-08,0.435558605,0.435558651,0.1693
486,0.948,0.99888,3.45E-08,0.445402555,0.44540259,0.1763
487,0.946,0.99584,2.59E-08,0.455374021,0.455374047,0.1836
488,0.944,0.99136,1.93E-08,0.465469773,0.465469792,0.1913
489,0.942,0.98592,1.44E-08,0.475686293,0.475686308,0.1994
490,0.94,0.98,1.07E-08,0.486019769,0.48601978,0.208
491,0.938,0.97632,7.94E-09,0.496466087,0.496466095,0.2171
492,0.936,0.97256,5.87E-09,0.507020826,0.507020832,0.2267
493,0.934,0.96864,4.32E-09,0.517679251,0.517679255,0.2368
494,0.932,0.96448,3.18E-09,0.528436308,0.528436311,0.2474
495,0.93,0.96,2.33E-09,0.53928662,0.539286622,0.2586
496,0.928,0.95312,1.70E-09,0.550224481,0.550224482,0.2702
497,0.926,0.94576,1.24E-09,0.561243852,0.561243853,0.2824
498,0.924,0.93784,9.02E-10,0.572338361,0.572338362,0.2952
499,0.922,0.92928,6.54E-10,0.583501296,0.583501297,0.3087
500,0.92,0.92,4.73E-10,0.594725606,0.594725607,0.323
501,0.918,0.90576,3.41E-10,0.6060039,0.6060039,0.3385
502,0.916,0.89068,2.45E-10,0.617328442,0.617328443,0.3548
503,0.914,0.87472,1.76E-10,0.62869116,0.62869116,0.3717
504,0.912,0.85784,1.25E-10,0.640083638,0.640083638,0.3893
505,0.91,0.84,8.94E-11,0.651497125,0.651497125,0.4073
506,0.908,0.81488,6.36E-11,0.662922534,0.662922534,0.4256
507,0.906,0.78904,4.50E-11,0.674350448,0.674350448,0.4443
508,0.904,0.76276,3.18E-11,0.685771124,0.685771124,0.4635
509,0.902,0.73632,2.24E-11,0.697174501,0.697174501,0.483
510,0.9,0.71,1.58E-11,0.708550202,0.708550202,0.503
511,0.898,0.6872,1.10E-11,0.71988755,0.71988755,0.5237
512,0.896,0.6648,7.72E-12,0.73117557,0.73117557,0.5447
513,0.894,0.6428,5.38E-12,0.742403004,0.742403004,0.5658
514,0.892,0.6212,3.73E-12,0.75355832,0.75355832,0.587
515,0.89,0.6,2.59E-12,0.764629725,0.764629725,0.6082
516,0.88784,0.58184,1.79E-12,0.775605182,0.775605182,0.6293
517,0.88572,0.56392,1.23E-12,0.78647242,0.78647242,0.6502
518,0.88368,0.54608,8.45E-13,0.797218953,0.797218953,0.6707
519,0.88176,0.52816,5.79E-13,0.807832099,0.807832099,0.6906
520,0.88,0.51,3.95E-13,0.818298995,0.818298995,0.71
521,0.87976,0.48832,2.69E-13,0.82860662,0.82860662,0.728
522,0.87968,0.46636,1.83E-13,0.838741812,0.838741812,0.7453
523,0.87972,0.44424,1.24E-13,0.848691294,0.848691294,0.7619
524,0.87984,0.42208,8.35E-14,0.858441697,0.858441697,0.7778
525,0.88,0.4,5.62E-14,0.86797958,0.86797958,0.7932
526,0.88,0.3796,3.77E-14,0.877291461,0.877291461,0.8082
527,0.88,0.3594,2.52E-14,0.886363837,0.886363837,0.8225
528,0.88,0.3394,1.68E-14,0.895183216,0.895183216,0.8363
529,0.88,0.3196,1.12E-14,0.903736145,0.903736145,0.8495
530,0.88,0.3,7.43E-15,0.912009235,0.912009235,0.862
531,0.88,0.28128,4.91E-15,0.919989195,0.919989195,0.8738
532,0.88,0.26284,3.24E-15,0.927662858,0.927662858,0.8849
